,Open Int,time to maturity (years),moneyness,inv_spread
1355,115,0.0136986301369863,0.938573883161512,20.0
1403,30,0.0136986301369863,0.8810483870967742,20.0
1397,21,0.0136986301369863,0.9014026402640264,20.0
1395,5,0.0136986301369863,0.9028925619834711,20.0
1391,1,0.0136986301369863,0.907392026578073,20.0
1389,1058,0.0136986301369863,0.9104166666666667,20.0
1385,187,0.0136986301369863,0.9149916247906198,20.0
1383,50,0.0136986301369863,0.9165268456375839,20.0
1381,300,0.0136986301369863,0.9180672268907563,20.0
1359,31,0.0136986301369863,0.9353595890410958,20.0
1021,500,0.0027397260273972603,0.8896579804560261,20.0
1351,4463,0.0136986301369863,0.9418103448275862,20.0
2473,7,0.030136986301369864,0.853515625,20.0
2831,11,0.03561643835616438,0.8810483870967742,20.0
2833,4,0.03561643835616438,0.8670634920634921,20.0
2835,6,0.03561643835616438,0.853515625,20.0
2471,2,0.030136986301369864,0.8670634920634921,20.0
2155,233,0.021917808219178082,0.8403846153846154,20.0
2151,60,0.021917808219178082,0.8670634920634921,20.0
1743,110,0.01643835616438356,0.8670634920634921,20.0
1063,3,0.0027397260273972603,0.8276515151515151,20.0
1057,10,0.0027397260273972603,0.853515625,20.0
1049,382,0.0027397260273972603,0.874,20.0
1045,2,0.0027397260273972603,0.8754006410256411,20.0
1033,3,0.0027397260273972603,0.8838996763754046,20.0
1029,9,0.0027397260273972603,0.8867694805194806,20.0
1025,311,0.0027397260273972603,0.8882113821138211,20.0
1401,10,0.0136986301369863,0.8954918032786885,20.0
791,906,0.0027397260273972603,0.9824640287769785,19.999999999999982
5789,214,0.07945205479452055,0.9014026402640264,10.000000000000002
5817,135,0.07945205479452055,0.8911092985318108,10.000000000000002
5801,168,0.07945205479452055,0.8969622331691297,10.000000000000002
5821,269,0.07945205479452055,0.8896579804560261,10.000000000000002
5837,100,0.07945205479452055,0.8782154340836013,10.000000000000002
799,1667,0.0027397260273972603,0.9789426523297491,10.000000000000002
3187,5436,0.0410958904109589,0.9369639794168096,10.000000000000002
5793,73,0.07945205479452055,0.8999176276771005,10.000000000000002
2063,3896,0.021917808219178082,0.9549825174825175,10.000000000000002
2073,6770,0.021917808219178082,0.9467071057192374,10.000000000000002
5781,70,0.07945205479452055,0.9043874172185431,10.000000000000002
2125,157,0.021917808219178082,0.9058872305140961,10.0
1367,58,0.0136986301369863,0.9289965986394558,10.0
6651,17,0.09863013698630137,0.853515625,10.0
1369,13,0.0136986301369863,0.9274193548387096,10.0
1371,382,0.0136986301369863,0.9258474576271186,10.0
4269,610,0.06027397260273973,0.8033088235294118,10.0
1373,10,0.0136986301369863,0.9242808798646363,10.0
1375,1,0.0136986301369863,0.9227195945945946,10.0
1379,1,0.0136986301369863,0.9196127946127947,10.0
2469,7,0.030136986301369864,0.8810483870967742,10.0
873,521,0.0027397260273972603,0.9467071057192374,10.0
1725,25,0.01643835616438356,0.9119365609348915,10.0
3267,100,0.0410958904109589,0.7803571428571429,10.0
3263,237,0.0410958904109589,0.8276515151515151,10.0
3261,345,0.0410958904109589,0.8403846153846154,10.0
3257,300,0.0410958904109589,0.8670634920634921,10.0
2463,22,0.030136986301369864,0.9104166666666667,10.0
1685,273,0.01643835616438356,0.9434369602763385,10.0
881,296,0.0027397260273972603,0.9434369602763385,10.0
2127,17,0.021917808219178082,0.9043874172185431,10.0
1365,11,0.0136986301369863,0.9305792163543442,10.0
1363,69,0.0136986301369863,0.9321672354948806,10.0
4267,169,0.06027397260273973,0.8276515151515151,10.0
1723,30,0.01643835616438356,0.9134615384615384,10.0
1727,1019,0.01643835616438356,0.9104166666666667,10.0
1719,50,0.01643835616438356,0.9165268456375839,10.0
1717,5,0.01643835616438356,0.9180672268907563,10.0
1715,60,0.01643835616438356,0.9196127946127947,10.0
1711,286,0.01643835616438356,0.9227195945945946,10.0
1707,607,0.01643835616438356,0.9258474576271186,10.0
1729,21,0.01643835616438356,0.907392026578073,10.0
1699,44,0.01643835616438356,0.9321672354948806,10.0
1697,1113,0.01643835616438356,0.9337606837606838,10.0
1733,143,0.01643835616438356,0.9028925619834711,10.0
2827,2589,0.03561643835616438,0.8954918032786885,10.0
1735,3,0.01643835616438356,0.9014026402640264,10.0
1331,4235,0.0136986301369863,0.9583333333333334,10.0
1739,13,0.01643835616438356,0.8954918032786885,10.0
1741,4,0.01643835616438356,0.8810483870967742,10.0
1353,224,0.0136986301369863,0.9401893287435457,10.0
1357,52,0.0136986301369863,0.9369639794168096,10.0
1361,933,0.0136986301369863,0.9337606837606838,10.0
1677,80,0.01643835616438356,0.95,10.0
2467,128,0.030136986301369864,0.8954918032786885,10.0
2109,149,0.021917808219178082,0.9180672268907563,10.0
843,2103,0.0027397260273972603,0.9600175746924429,10.0
803,564,0.0027397260273972603,0.9771914132379249,10.0
807,2239,0.0027397260273972603,0.9754464285714286,10.0
811,509,0.0027397260273972603,0.9737076648841355,10.0
815,1207,0.0027397260273972603,0.9719750889679716,10.0
2149,163,0.021917808219178082,0.8810483870967742,10.0
