Epoch: 6, loss: 133186.562500, acc3dp: 0.000530, acc4dp: 0.000000, acc5dp: 0.000000 
Epoch: 7, loss: 133186.562500, acc3dp: 0.000530, acc4dp: 0.000000, acc5dp: 0.000000 
Epoch: 8, loss: 133186.562500, acc3dp: 0.000530, acc4dp: 0.000000, acc5dp: 0.000000 
Epoch: 9, loss: 133186.562500, acc3dp: 0.000530, acc4dp: 0.000000, acc5dp: 0.000000 
2,2,lr_5.92688E+00
Epoch: 0, loss: 133186.562500, acc3dp: 0.000530, acc4dp: 0.000000, acc5dp: 0.000000 
Epoch: 1, loss: 133186.562500, acc3dp: 0.000530, acc4dp: 0.000000, acc5dp: 0.000000 
Epoch: 2, loss: 133186.562500, acc3dp: 0.000530, acc4dp: 0.000000, acc5dp: 0.000000 
Epoch: 3, loss: 133186.562500, acc3dp: 0.000530, acc4dp: 0.000000, acc5dp: 0.000000 
Epoch: 4, loss: 133186.562500, acc3dp: 0.000530, acc4dp: 0.000000, acc5dp: 0.000000 
Epoch: 5, loss: 133186.562500, acc3dp: 0.000530, acc4dp: 0.000000, acc5dp: 0.000000 
Epoch: 6, loss: 133186.562500, acc3dp: 0.000530, acc4dp: 0.000000, acc5dp: 0.000000 
Epoch: 7, loss: 133186.562500, acc3dp: 0.000530, acc4dp: 0.000000, acc5dp: 0.000000 
Epoch: 8, loss: 133186.562500, acc3dp: 0.000530, acc4dp: 0.000000, acc5dp: 0.000000 
Epoch: 9, loss: 133186.562500, acc3dp: 0.000530, acc4dp: 0.000000, acc5dp: 0.000000 
2,2,lr_3.06763E-06
Epoch: 0, loss: 65666.718750, acc3dp: 0.001240, acc4dp: 0.000070, acc5dp: 0.000020 
Epoch: 1, loss: 50296.375000, acc3dp: 0.001550, acc4dp: 0.000120, acc5dp: 0.000020 
Epoch: 2, loss: 36326.000000, acc3dp: 0.001630, acc4dp: 0.000180, acc5dp: 0.000030 
Epoch: 3, loss: 24377.072266, acc3dp: 0.001810, acc4dp: 0.000190, acc5dp: 0.000010 
Epoch: 4, loss: 15253.411133, acc3dp: 0.001660, acc4dp: 0.000180, acc5dp: 0.000050 
Epoch: 5, loss: 9649.695312, acc3dp: 0.001880, acc4dp: 0.000200, acc5dp: 0.000010 
Epoch: 6, loss: 7476.067871, acc3dp: 0.002300, acc4dp: 0.000260, acc5dp: 0.000020 
Epoch: 7, loss: 5848.504395, acc3dp: 0.002280, acc4dp: 0.000260, acc5dp: 0.000030 
Epoch: 8, loss: 4391.358398, acc3dp: 0.002850, acc4dp: 0.000270, acc5dp: 0.000030 
Epoch: 9, loss: 3075.897461, acc3dp: 0.002850, acc4dp: 0.000260, acc5dp: 0.000030 
2,2,lr_5.56191E-03
Epoch: 0, loss: 125.583206, acc3dp: 0.014530, acc4dp: 0.001480, acc5dp: 0.000130 
Epoch: 1, loss: 127.078712, acc3dp: 0.015680, acc4dp: 0.001500, acc5dp: 0.000160 
Epoch: 2, loss: 122.435600, acc3dp: 0.015900, acc4dp: 0.001760, acc5dp: 0.000150 
Epoch: 3, loss: 119.641457, acc3dp: 0.016170, acc4dp: 0.001470, acc5dp: 0.000130 
Epoch: 4, loss: 121.205658, acc3dp: 0.016520, acc4dp: 0.001590, acc5dp: 0.000120 
Epoch: 5, loss: 122.871140, acc3dp: 0.016570, acc4dp: 0.001760, acc5dp: 0.000160 
Epoch: 6, loss: 117.478821, acc3dp: 0.015950, acc4dp: 0.001720, acc5dp: 0.000140 
Epoch: 7, loss: 125.819435, acc3dp: 0.014710, acc4dp: 0.001600, acc5dp: 0.000130 
Epoch: 8, loss: 128.027893, acc3dp: 0.016120, acc4dp: 0.001750, acc5dp: 0.000230 
Epoch: 9, loss: 117.724747, acc3dp: 0.016350, acc4dp: 0.001740, acc5dp: 0.000200 
2,2,lr_1.53359E-03
Epoch: 0, loss: 133186.562500, acc3dp: 0.000530, acc4dp: 0.000000, acc5dp: 0.000000 
Epoch: 1, loss: 133186.562500, acc3dp: 0.000530, acc4dp: 0.000000, acc5dp: 0.000000 
Epoch: 2, loss: 133186.562500, acc3dp: 0.000530, acc4dp: 0.000000, acc5dp: 0.000000 
Epoch: 3, loss: 133186.562500, acc3dp: 0.000530, acc4dp: 0.000000, acc5dp: 0.000000 
Epoch: 4, loss: 133186.562500, acc3dp: 0.000530, acc4dp: 0.000000, acc5dp: 0.000000 
Epoch: 5, loss: 133186.562500, acc3dp: 0.000530, acc4dp: 0.000000, acc5dp: 0.000000 
Epoch: 6, loss: 133186.562500, acc3dp: 0.000530, acc4dp: 0.000000, acc5dp: 0.000000 
Epoch: 7, loss: 133186.562500, acc3dp: 0.000530, acc4dp: 0.000000, acc5dp: 0.000000 
Epoch: 8, loss: 133186.562500, acc3dp: 0.000530, acc4dp: 0.000000, acc5dp: 0.000000 
Epoch: 9, loss: 133186.562500, acc3dp: 0.000530, acc4dp: 0.000000, acc5dp: 0.000000 
4,2,lr_1.21943E-03
Epoch: 0, loss: 117.111115, acc3dp: 0.015650, acc4dp: 0.001580, acc5dp: 0.000200 
Epoch: 1, loss: 118.281258, acc3dp: 0.014820, acc4dp: 0.001570, acc5dp: 0.000130 
Epoch: 2, loss: 122.289505, acc3dp: 0.016720, acc4dp: 0.001750, acc5dp: 0.000220 
Epoch: 3, loss: 119.311798, acc3dp: 0.015390, acc4dp: 0.001380, acc5dp: 0.000180 
Epoch: 4, loss: 124.416702, acc3dp: 0.016130, acc4dp: 0.001470, acc5dp: 0.000150 
Epoch: 5, loss: 122.803452, acc3dp: 0.017170, acc4dp: 0.001650, acc5dp: 0.000150 
Epoch: 6, loss: 118.049988, acc3dp: 0.015990, acc4dp: 0.001640, acc5dp: 0.000170 
Epoch: 7, loss: 122.906570, acc3dp: 0.014450, acc4dp: 0.001600, acc5dp: 0.000130 
Epoch: 8, loss: 125.504440, acc3dp: 0.016210, acc4dp: 0.001450, acc5dp: 0.000140 
Epoch: 9, loss: 119.167603, acc3dp: 0.016110, acc4dp: 0.001490, acc5dp: 0.000110 
4,2,lr_5.06483E-04
Epoch: 0, loss: 2.111666, acc3dp: 0.231650, acc4dp: 0.020090, acc5dp: 0.001920 
Epoch: 1, loss: 1.500193, acc3dp: 0.147410, acc4dp: 0.014420, acc5dp: 0.001520 
Epoch: 2, loss: 1.684165, acc3dp: 0.173020, acc4dp: 0.017600, acc5dp: 0.001660 
Epoch: 3, loss: 1.530239, acc3dp: 0.161270, acc4dp: 0.016160, acc5dp: 0.001590 
Epoch: 4, loss: 1.552574, acc3dp: 0.148190, acc4dp: 0.013950, acc5dp: 0.001380 
Epoch: 5, loss: 1.469589, acc3dp: 0.133750, acc4dp: 0.013220, acc5dp: 0.001260 
Epoch: 6, loss: 1.431894, acc3dp: 0.147610, acc4dp: 0.014180, acc5dp: 0.001360 
Epoch: 7, loss: 1.613916, acc3dp: 0.134880, acc4dp: 0.013260, acc5dp: 0.001320 
Epoch: 8, loss: 1.415260, acc3dp: 0.146840, acc4dp: 0.014080, acc5dp: 0.001520 
Epoch: 9, loss: 1.526083, acc3dp: 0.144580, acc4dp: 0.014300, acc5dp: 0.001480 
4,2,lr_1.08247E-02
Epoch: 0, loss: 133186.562500, acc3dp: 0.000530, acc4dp: 0.000000, acc5dp: 0.000000 
Epoch: 1, loss: 133186.562500, acc3dp: 0.000530, acc4dp: 0.000000, acc5dp: 0.000000 
Epoch: 2, loss: 133186.562500, acc3dp: 0.000530, acc4dp: 0.000000, acc5dp: 0.000000 
Epoch: 3, loss: 133186.562500, acc3dp: 0.000530, acc4dp: 0.000000, acc5dp: 0.000000 
Epoch: 4, loss: 133186.562500, acc3dp: 0.000530, acc4dp: 0.000000, acc5dp: 0.000000 
Epoch: 5, loss: 133186.562500, acc3dp: 0.000530, acc4dp: 0.000000, acc5dp: 0.000000 
Epoch: 6, loss: 133186.562500, acc3dp: 0.000530, acc4dp: 0.000000, acc5dp: 0.000000 
Epoch: 7, loss: 133186.562500, acc3dp: 0.000530, acc4dp: 0.000000, acc5dp: 0.000000 
Epoch: 8, loss: 133186.562500, acc3dp: 0.000530, acc4dp: 0.000000, acc5dp: 0.000000 
Epoch: 9, loss: 133186.562500, acc3dp: 0.000530, acc4dp: 0.000000, acc5dp: 0.000000 
4,2,lr_2.19090E-02
Epoch: 0, loss: 133186.562500, acc3dp: 0.000530, acc4dp: 0.000000, acc5dp: 0.000000 
Epoch: 1, loss: 133186.562500, acc3dp: 0.000530, acc4dp: 0.000000, acc5dp: 0.000000 
Epoch: 2, loss: 133186.562500, acc3dp: 0.000530, acc4dp: 0.000000, acc5dp: 0.000000 
Epoch: 3, loss: 133186.562500, acc3dp: 0.000530, acc4dp: 0.000000, acc5dp: 0.000000 
Epoch: 4, loss: 133186.562500, acc3dp: 0.000530, acc4dp: 0.000000, acc5dp: 0.000000 
Epoch: 5, loss: 133186.562500, acc3dp: 0.000530, acc4dp: 0.000000, acc5dp: 0.000000 
Epoch: 6, loss: 133186.562500, acc3dp: 0.000530, acc4dp: 0.000000, acc5dp: 0.000000 
Epoch: 7, loss: 133186.562500, acc3dp: 0.000530, acc4dp: 0.000000, acc5dp: 0.000000 
Epoch: 8, loss: 133186.562500, acc3dp: 0.000530, acc4dp: 0.000000, acc5dp: 0.000000 
Epoch: 9, loss: 133186.562500, acc3dp: 0.000530, acc4dp: 0.000000, acc5dp: 0.000000 
4,2,lr_3.48585E-05
Epoch: 0, loss: 133186.562500, acc3dp: 0.000530, acc4dp: 0.000000, acc5dp: 0.000000 
Epoch: 1, loss: 133186.562500, acc3dp: 0.000530, acc4dp: 0.000000, acc5dp: 0.000000 
Epoch: 2, loss: 133186.562500, acc3dp: 0.000530, acc4dp: 0.000000, acc5dp: 0.000000 
Epoch: 3, loss: 133186.562500, acc3dp: 0.000530, acc4dp: 0.000000, acc5dp: 0.000000 
Epoch: 4, loss: 133186.562500, acc3dp: 0.000530, acc4dp: 0.000000, acc5dp: 0.000000 
Epoch: 5, loss: 133186.562500, acc3dp: 0.000530, acc4dp: 0.000000, acc5dp: 0.000000 
Epoch: 6, loss: 133186.562500, acc3dp: 0.000530, acc4dp: 0.000000, acc5dp: 0.000000 
Epoch: 7, loss: 133186.562500, acc3dp: 0.000530, acc4dp: 0.000000, acc5dp: 0.000000 
Epoch: 8, loss: 133186.562500, acc3dp: 0.000530, acc4dp: 0.000000, acc5dp: 0.000000 
Epoch: 9, loss: 133186.562500, acc3dp: 0.000530, acc4dp: 0.000000, acc5dp: 0.000000 
4,2,lr_1.82994E-01
Epoch: 0, loss: 133186.562500, acc3dp: 0.000530, acc4dp: 0.000000, acc5dp: 0.000000 
Epoch: 1, loss: 133186.562500, acc3dp: 0.000530, acc4dp: 0.000000, acc5dp: 0.000000 
Epoch: 2, loss: 133186.562500, acc3dp: 0.000530, acc4dp: 0.000000, acc5dp: 0.000000 
Epoch: 3, loss: 133186.562500, acc3dp: 0.000530, acc4dp: 0.000000, acc5dp: 0.000000 
Epoch: 4, loss: 133186.562500, acc3dp: 0.000530, acc4dp: 0.000000, acc5dp: 0.000000 
Epoch: 5, loss: 133186.562500, acc3dp: 0.000530, acc4dp: 0.000000, acc5dp: 0.000000 
Epoch: 6, loss: 133186.562500, acc3dp: 0.000530, acc4dp: 0.000000, acc5dp: 0.000000 
Epoch: 7, loss: 133186.562500, acc3dp: 0.000530, acc4dp: 0.000000, acc5dp: 0.000000 
Epoch: 8, loss: 133186.562500, acc3dp: 0.000530, acc4dp: 0.000000, acc5dp: 0.000000 
Epoch: 9, loss: 133186.562500, acc3dp: 0.000530, acc4dp: 0.000000, acc5dp: 0.000000 
4,2,lr_1.24285E-06
Epoch: 0, loss: 133186.562500, acc3dp: 0.000530, acc4dp: 0.000000, acc5dp: 0.000000 
Epoch: 1, loss: 133186.562500, acc3dp: 0.000530, acc4dp: 0.000000, acc5dp: 0.000000 
Epoch: 2, loss: 133186.562500, acc3dp: 0.000530, acc4dp: 0.000000, acc5dp: 0.000000 
Epoch: 3, loss: 133186.562500, acc3dp: 0.000530, acc4dp: 0.000000, acc5dp: 0.000000 
Epoch: 4, loss: 133186.562500, acc3dp: 0.000530, acc4dp: 0.000000, acc5dp: 0.000000 
Epoch: 5, loss: 133186.562500, acc3dp: 0.000530, acc4dp: 0.000000, acc5dp: 0.000000 
Epoch: 6, loss: 133186.562500, acc3dp: 0.000530, acc4dp: 0.000000, acc5dp: 0.000000 
Epoch: 7, loss: 133186.562500, acc3dp: 0.000530, acc4dp: 0.000000, acc5dp: 0.000000 
Epoch: 8, loss: 133186.562500, acc3dp: 0.000530, acc4dp: 0.000000, acc5dp: 0.000000 
Epoch: 9, loss: 133186.562500, acc3dp: 0.000530, acc4dp: 0.000000, acc5dp: 0.000000 
4,2,lr_1.76072E-06
Epoch: 0, loss: 133186.562500, acc3dp: 0.000530, acc4dp: 0.000000, acc5dp: 0.000000 
Epoch: 1, loss: 133186.562500, acc3dp: 0.000530, acc4dp: 0.000000, acc5dp: 0.000000 
Epoch: 2, loss: 133186.562500, acc3dp: 0.000530, acc4dp: 0.000000, acc5dp: 0.000000 
Epoch: 3, loss: 133186.562500, acc3dp: 0.000530, acc4dp: 0.000000, acc5dp: 0.000000 
Epoch: 4, loss: 133186.562500, acc3dp: 0.000530, acc4dp: 0.000000, acc5dp: 0.000000 
Epoch: 5, loss: 133186.562500, acc3dp: 0.000530, acc4dp: 0.000000, acc5dp: 0.000000 
Epoch: 6, loss: 133186.562500, acc3dp: 0.000530, acc4dp: 0.000000, acc5dp: 0.000000 
Epoch: 7, loss: 133186.562500, acc3dp: 0.000530, acc4dp: 0.000000, acc5dp: 0.000000 
Epoch: 8, loss: 133186.562500, acc3dp: 0.000530, acc4dp: 0.000000, acc5dp: 0.000000 
Epoch: 9, loss: 133186.562500, acc3dp: 0.000530, acc4dp: 0.000000, acc5dp: 0.000000 
4,2,lr_3.71924E-05
Epoch: 0, loss: 133186.562500, acc3dp: 0.000530, acc4dp: 0.000000, acc5dp: 0.000000 
Epoch: 1, loss: 133186.562500, acc3dp: 0.000530, acc4dp: 0.000000, acc5dp: 0.000000 
Epoch: 2, loss: 133186.562500, acc3dp: 0.000530, acc4dp: 0.000000, acc5dp: 0.000000 
Epoch: 3, loss: 133186.562500, acc3dp: 0.000530, acc4dp: 0.000000, acc5dp: 0.000000 
Epoch: 4, loss: 133186.562500, acc3dp: 0.000530, acc4dp: 0.000000, acc5dp: 0.000000 
Epoch: 5, loss: 133186.562500, acc3dp: 0.000530, acc4dp: 0.000000, acc5dp: 0.000000 
Epoch: 6, loss: 133186.562500, acc3dp: 0.000530, acc4dp: 0.000000, acc5dp: 0.000000 
Epoch: 7, loss: 133186.562500, acc3dp: 0.000530, acc4dp: 0.000000, acc5dp: 0.000000 
Epoch: 8, loss: 133186.562500, acc3dp: 0.000530, acc4dp: 0.000000, acc5dp: 0.000000 
Epoch: 9, loss: 133186.562500, acc3dp: 0.000530, acc4dp: 0.000000, acc5dp: 0.000000 
4,2,lr_1.07050E+00
Epoch: 0, loss: 133186.562500, acc3dp: 0.000530, acc4dp: 0.000000, acc5dp: 0.000000 
Epoch: 1, loss: 133186.562500, acc3dp: 0.000530, acc4dp: 0.000000, acc5dp: 0.000000 
Epoch: 2, loss: 133186.562500, acc3dp: 0.000530, acc4dp: 0.000000, acc5dp: 0.000000 
Epoch: 3, loss: 133186.562500, acc3dp: 0.000530, acc4dp: 0.000000, acc5dp: 0.000000 
Epoch: 4, loss: 133186.562500, acc3dp: 0.000530, acc4dp: 0.000000, acc5dp: 0.000000 
Epoch: 5, loss: 133186.562500, acc3dp: 0.000530, acc4dp: 0.000000, acc5dp: 0.000000 
Epoch: 6, loss: 133186.562500, acc3dp: 0.000530, acc4dp: 0.000000, acc5dp: 0.000000 
Epoch: 7, loss: 133186.562500, acc3dp: 0.000530, acc4dp: 0.000000, acc5dp: 0.000000 
Epoch: 8, loss: 133186.562500, acc3dp: 0.000530, acc4dp: 0.000000, acc5dp: 0.000000 
Epoch: 9, loss: 133186.562500, acc3dp: 0.000530, acc4dp: 0.000000, acc5dp: 0.000000 
4,4,lr_1.21943E-03
Epoch: 0, loss: 116.670853, acc3dp: 0.016000, acc4dp: 0.001510, acc5dp: 0.000200 
Epoch: 1, loss: 117.584625, acc3dp: 0.015290, acc4dp: 0.001500, acc5dp: 0.000120 
Epoch: 2, loss: 120.938118, acc3dp: 0.016580, acc4dp: 0.001650, acc5dp: 0.000130 
Epoch: 3, loss: 118.511154, acc3dp: 0.015550, acc4dp: 0.001550, acc5dp: 0.000140 
Epoch: 4, loss: 123.169113, acc3dp: 0.016070, acc4dp: 0.001850, acc5dp: 0.000220 
Epoch: 5, loss: 121.144043, acc3dp: 0.016490, acc4dp: 0.001600, acc5dp: 0.000170 
Epoch: 6, loss: 118.402954, acc3dp: 0.015920, acc4dp: 0.001770, acc5dp: 0.000120 
Epoch: 7, loss: 123.667046, acc3dp: 0.014290, acc4dp: 0.001400, acc5dp: 0.000130 
Epoch: 8, loss: 124.580460, acc3dp: 0.016120, acc4dp: 0.001540, acc5dp: 0.000130 
Epoch: 9, loss: 119.379242, acc3dp: 0.016010, acc4dp: 0.001460, acc5dp: 0.000160 
4,4,lr_5.06483E-04
Epoch: 0, loss: 7.705104, acc3dp: 0.064290, acc4dp: 0.006090, acc5dp: 0.000610 
Epoch: 1, loss: 7.737492, acc3dp: 0.060850, acc4dp: 0.006240, acc5dp: 0.000770 
Epoch: 2, loss: 8.451821, acc3dp: 0.063520, acc4dp: 0.006290, acc5dp: 0.000570 
Epoch: 3, loss: 7.422054, acc3dp: 0.060150, acc4dp: 0.006240, acc5dp: 0.000750 
Epoch: 4, loss: 8.221607, acc3dp: 0.054580, acc4dp: 0.005200, acc5dp: 0.000400 
