,Bid,Ask,Open Int,time to maturity (years),log_moneyness,strike,Mid,inv_spread
889,0.0,0.05,2110,0.0027397260273972603,0.061674010442111314,2905,0.025,20.0
893,0.0,0.05,251,0.0027397260273972603,0.06339370132163799,2910,0.025,20.0
897,0.0,0.05,281,0.0027397260273972603,0.06511043994069242,2915,0.025,20.0
1389,0.0,0.05,1058,0.0136986301369863,0.09385290880634647,3000,0.025,20.0
1359,0.0,0.05,31,0.0136986301369863,0.06682423641842718,2920,0.025,20.0
3259,0.0,0.05,109,0.0410958904109589,0.15839142994391764,3200,0.025,20.0
1403,0.0,0.05,30,0.0136986301369863,0.12664273162933723,3100,0.025,20.0
949,0.0,0.05,368,0.0027397260273972603,0.08716392065554977,2980,0.025,20.0
1025,0.0,0.05,311,0.0027397260273972603,0.1185455213967179,3075,0.025,20.0
1005,0.0,0.05,480,0.0027397260273972603,0.11038221075755698,3050,0.025,20.0
997,0.0,0.05,68,0.0027397260273972603,0.10709813555636712,3040,0.025,20.0
993,0.0,0.05,1,0.0027397260273972603,0.10545204464969829,3035,0.025,20.0
989,0.0,0.05,1,0.0027397260273972603,0.1038032396595146,3030,0.025,20.0
985,0.0,0.05,160,0.0027397260273972603,0.10215171162104154,3025,0.025,20.0
981,0.0,0.05,2,0.0027397260273972603,0.10049745152501495,3020,0.025,20.0
1385,0.0,0.05,187,0.0136986301369863,0.08884036698280218,2985,0.025,20.0
973,0.0,0.05,122,0.0027397260273972603,0.09718069889902109,3010,0.025,20.0
969,0.0,0.05,4,0.0027397260273972603,0.09551818812540776,3005,0.025,20.0
965,0.0,0.05,1858,0.0027397260273972603,0.09385290880634647,3000,0.025,20.0
957,0.0,0.05,203,0.0027397260273972603,0.0905140075408319,2990,0.025,20.0
953,0.0,0.05,94,0.0027397260273972603,0.08884036698280218,2985,0.025,20.0
961,0.0,0.05,39,0.0027397260273972603,0.09218485170564938,2995,0.025,20.0
945,0.0,0.05,1153,0.0027397260273972603,0.0854846591358299,2975,0.025,20.0
1021,0.0,0.05,500,0.0027397260273972603,0.11691818173734261,3070,0.025,20.0
1397,0.0,0.05,21,0.0136986301369863,0.1038032396595146,3030,0.025,20.0
1395,0.0,0.05,5,0.0136986301369863,0.10215171162104154,3025,0.025,20.0
1391,0.0,0.05,1,0.0136986301369863,0.09718069889902109,3010,0.025,20.0
1033,0.0,0.05,3,0.0027397260273972603,0.12341171104789082,3090,0.025,20.0
941,0.0,0.05,224,0.0027397260273972603,0.08380257295284499,2970,0.025,20.0
1029,0.0,0.05,9,0.0027397260273972603,0.12017021712371988,3080,0.025,20.0
913,0.0,0.05,289,0.0027397260273972603,0.0719480734182966,2935,0.025,20.0
921,0.0,0.05,1072,0.0027397260273972603,0.07534943724178679,2945,0.025,20.0
925,0.0,0.05,674,0.0027397260273972603,0.0770457904899653,2950,0.025,20.0
929,0.0,0.05,2159,0.0027397260273972603,0.07873927099629824,2955,0.025,20.0
933,0.0,0.05,148,0.0027397260273972603,0.08042988847420579,2960,0.025,20.0
937,0.0,0.05,163,0.0027397260273972603,0.08211765258792564,2965,0.025,20.0
1401,0.0,0.05,10,0.0136986301369863,0.11038221075755698,3050,0.025,20.0
791,0.35,0.4,906,0.0027397260273972603,0.01769154784078239,2780,0.375,19.999999999999982
5781,0.65,0.75,70,0.07945205479452055,0.10049745152501495,3020,0.7,10.000000000000002
2073,0.2,0.3,6770,0.021917808219178082,0.054765520098299755,2885,0.25,10.000000000000002
5793,0.55,0.65,73,0.07945205479452055,0.10545204464969829,3035,0.6000000000000001,10.000000000000002
799,0.2,0.3,1667,0.0027397260273972603,0.021282215971511115,2790,0.25,10.000000000000002
5801,0.5,0.6,168,0.07945205479452055,0.1087415213000972,3045,0.55,10.000000000000002
5837,0.25,0.35,100,0.07945205479452055,0.1298633463293796,3110,0.3,10.000000000000002
2063,0.4,0.5,3896,0.021917808219178082,0.04606224496999791,2860,0.45,10.000000000000002
3187,0.55,0.65,5436,0.0410958904109589,0.06511043994069242,2915,0.6000000000000001,10.000000000000002
5789,0.6,0.7,214,0.07945205479452055,0.1038032396595146,3030,0.6499999999999999,10.000000000000002
5817,0.4,0.5,135,0.07945205479452055,0.11528818952641148,3065,0.45,10.000000000000002
5821,0.4,0.5,269,0.07945205479452055,0.11691818173734261,3070,0.45,10.000000000000002
827,0.05,0.15,2600,0.0027397260273972603,0.033748984736641036,2825,0.1,10.0
831,0.05,0.15,799,0.0027397260273972603,0.03551733179338311,2830,0.1,10.0
835,0.05,0.15,1429,0.0027397260273972603,0.03728255731795211,2835,0.1,10.0
839,0.05,0.15,817,0.0027397260273972603,0.03904467231135147,2840,0.1,10.0
843,0.05,0.15,2103,0.0027397260273972603,0.04080368771653112,2845,0.1,10.0
2125,0.0,0.1,157,0.021917808219178082,0.09884045031738557,3015,0.05,10.0
851,0.0,0.1,456,0.0027397260273972603,0.04431246324621036,2855,0.05,10.0
1711,0.0,0.1,286,0.01643835616438356,0.08042988847420579,2960,0.05,10.0
859,0.0,0.1,973,0.0027397260273972603,0.047808970304939656,2865,0.05,10.0
1707,0.0,0.1,607,0.01643835616438356,0.0770457904899653,2950,0.05,10.0
1699,0.05,0.15,44,0.01643835616438356,0.07024304316721268,2930,0.1,10.0
873,0.0,0.1,521,0.0027397260273972603,0.054765520098299755,2885,0.05,10.0
1697,0.05,0.15,1113,0.01643835616438356,0.06853510082205669,2925,0.1,10.0
881,0.0,0.1,296,0.0027397260273972603,0.058225731163195384,2895,0.05,10.0
847,0.0,0.1,2225,0.0027397260273972603,0.0425596144187959,2850,0.05,10.0
2129,0.0,0.1,272,0.021917808219178082,0.10215171162104154,3025,0.05,10.0
2127,0.0,0.1,17,0.021917808219178082,0.10049745152501495,3020,0.05,10.0
2133,0.0,0.1,130,0.021917808219178082,0.10545204464969829,3035,0.05,10.0
811,0.1,0.2,509,0.0027397260273972603,0.026644159112896304,2805,0.15000000000000002,10.0
815,0.1,0.2,1207,0.0027397260273972603,0.028425103483891143,2810,0.15000000000000002,10.0
