,Open Int,time to maturity (years),moneyness
9969,7,0.3287671232876712,1.5387323943661972
6681,4,0.11506849315068493,1.5387323943661972
9973,33,0.3287671232876712,1.5173611111111112
6329,9,0.09863013698630137,1.5173611111111112
7071,17,0.136986301369863,1.5173611111111112
2495,2,0.03561643835616438,1.5173611111111112
10235,146,0.36712328767123287,1.5173611111111112
11419,33,0.8465753424657534,1.5173611111111112
10845,88,0.5972602739726027,1.5173611111111112
6683,5,0.11506849315068493,1.5173611111111112
91,1,0.0027397260273972603,1.5173611111111112
11105,158,0.6164383561643836,1.5173611111111112
11681,110,0.873972602739726,1.5173611111111112
9977,15,0.3287671232876712,1.4965753424657535
11423,2,0.8465753424657534,1.4965753424657535
10849,33,0.5972602739726027,1.4965753424657535
6685,2,0.11506849315068493,1.4965753424657535
11427,44,0.8465753424657534,1.4763513513513513
8737,41,0.20273972602739726,1.4763513513513513
7073,14,0.136986301369863,1.4763513513513513
11107,27,0.6164383561643836,1.4763513513513513
3897,1,0.06027397260273973,1.4763513513513513
9981,27,0.3287671232876712,1.4763513513513513
10853,37,0.5972602739726027,1.4763513513513513
11431,7,0.8465753424657534,1.4566666666666668
9985,33,0.3287671232876712,1.4566666666666668
10239,11,0.36712328767123287,1.4566666666666668
10857,3,0.5972602739726027,1.4566666666666668
11109,22,0.6164383561643836,1.4566666666666668
2499,7,0.03561643835616438,1.4566666666666668
6689,146,0.11506849315068493,1.4566666666666668
135,1,0.0027397260273972603,1.44510582010582
3567,2,0.0547945205479452,1.4375
6691,27,0.11506849315068493,1.4375
6333,38,0.09863013698630137,1.4375
10241,8,0.36712328767123287,1.4375
4277,1,0.0684931506849315,1.4375
1079,1,0.0136986301369863,1.4375
11111,9,0.6164383561643836,1.4375
11435,116,0.8465753424657534,1.4375
11685,1,0.873972602739726,1.4375
9989,38,0.3287671232876712,1.4375
2501,8,0.03561643835616438,1.4375
1765,2,0.021917808219178082,1.4375
2857,2,0.0410958904109589,1.4375
10861,9,0.5972602739726027,1.4375
3273,1,0.049315068493150684,1.4375
7075,30,0.136986301369863,1.4375
2165,4,0.030136986301369864,1.4375
11439,55,0.8465753424657534,1.4188311688311688
9993,4,0.3287671232876712,1.4188311688311688
6693,37,0.11506849315068493,1.4188311688311688
10865,3,0.5972602739726027,1.4188311688311688
10243,16,0.36712328767123287,1.4188311688311688
3901,21,0.06027397260273973,1.4006410256410255
9997,6,0.3287671232876712,1.4006410256410255
11115,2,0.6164383561643836,1.4006410256410255
6695,51,0.11506849315068493,1.4006410256410255
2505,19,0.03561643835616438,1.4006410256410255
11687,1,0.873972602739726,1.4006410256410255
1767,1,0.021917808219178082,1.4006410256410255
10869,6,0.5972602739726027,1.4006410256410255
2859,1,0.0410958904109589,1.4006410256410255
11443,57,0.8465753424657534,1.4006410256410255
10001,3,0.3287671232876712,1.3829113924050633
10247,3,0.36712328767123287,1.3829113924050633
6697,7,0.11506849315068493,1.3829113924050633
11117,3,0.6164383561643836,1.3829113924050633
7799,1,0.17534246575342466,1.3829113924050633
11447,55,0.8465753424657534,1.3829113924050633
6337,2,0.09863013698630137,1.365625
9105,1,0.25205479452054796,1.365625
10005,40,0.3287671232876712,1.365625
7811,1,0.17534246575342466,1.365625
2509,21,0.03561643835616438,1.365625
11451,168,0.8465753424657534,1.365625
10249,12,0.36712328767123287,1.365625
187,19,0.0027397260273972603,1.365625
11119,655,0.6164383561643836,1.365625
