SPX (S&P 500 INDEX),2731.25,+32.62,
Feb 15 2018 @ 16:16 ET,
Calls,Last Sale,Net,Bid,Ask,Vol,Open Int,Puts,Last Sale,Net,Bid,Ask,Vol,Open Int,
18 Feb 1450.00 (SPX1816B1450-E),0.0,0.0,1277.10,1288.40,0,0,18 Feb 1450.00 (SPX1816N1450-E),0.50,0.0,0.0,0.10,0,5293,
18 Feb 1450.00 (SPXW1816B1450-E),0.0,0.0,1272.40,1284.50,0,0,18 Feb 1450.00 (SPXW1816N1450-E),0.05,0.0,0.0,0.05,0,22,
18 Feb 1475.00 (SPX1816B1475),1152.40,0.0,1252.10,1263.40,0,15,18 Feb 1475.00 (SPX1816N1475),0.20,0.0,0.0,0.15,0,15,
18 Feb 1475.00 (SPXW1816B1475),0.0,0.0,1247.40,1259.50,0,0,18 Feb 1475.00 (SPXW1816N1475),0.10,0.0,0.0,0.05,0,105,
18 Feb 1475.00 (SPX1816B1475-E),1152.40,0.0,1252.10,1263.40,0,15,18 Feb 1475.00 (SPX1816N1475-E),0.20,0.0,0.0,0.15,0,15,
18 Feb 1475.00 (SPXW1816B1475-E),0.0,0.0,1247.40,1259.50,0,0,18 Feb 1475.00 (SPXW1816N1475-E),0.10,0.0,0.0,0.05,0,105,
18 Feb 1500.00 (SPX1816B1500),1120.00,0.0,1227.10,1238.40,0,2650,18 Feb 1500.00 (SPX1816N1500),0.05,0.0,0.0,0.05,0,22223,
18 Feb 1500.00 (SPXW1816B1500),1079.50,0.0,1224.70,1236.80,0,2,18 Feb 1500.00 (SPXW1816N1500),0.05,0.0,0.0,0.05,0,1658,
18 Feb 1500.00 (SPX1816B1500-E),1120.00,0.0,1227.10,1238.40,0,2650,18 Feb 1500.00 (SPX1816N1500-E),0.05,0.0,0.0,0.05,0,22223,
18 Feb 1500.00 (SPXW1816B1500-E),1079.50,0.0,1224.70,1236.80,0,2,18 Feb 1500.00 (SPXW1816N1500-E),0.05,0.0,0.0,0.05,0,1658,
18 Feb 1525.00 (SPX1816B1525),0.0,0.0,1202.10,1213.40,0,0,18 Feb 1525.00 (SPX1816N1525),0.10,0.0,0.0,0.15,0,495,
18 Feb 1525.00 (SPXW1816B1525),0.0,0.0,1197.50,1209.50,0,0,18 Feb 1525.00 (SPXW1816N1525),0.05,0.0,0.0,0.05,0,397,
18 Feb 1525.00 (SPX1816B1525-E),0.0,0.0,1202.10,1213.40,0,0,18 Feb 1525.00 (SPX1816N1525-E),0.10,0.0,0.0,0.15,0,495,
18 Feb 1525.00 (SPXW1816B1525-E),0.0,0.0,1197.50,1209.50,0,0,18 Feb 1525.00 (SPXW1816N1525-E),0.05,0.0,0.0,0.05,0,397,
18 Feb 1550.00 (SPX1816B1550),0.0,0.0,1177.10,1188.50,0,0,18 Feb 1550.00 (SPX1816N1550),0.05,0.0,0.0,0.10,0,8414,
18 Feb 1550.00 (SPXW1816B1550),0.0,0.0,1172.40,1184.50,0,0,18 Feb 1550.00 (SPXW1816N1550),0.05,0.0,0.0,0.05,0,680,
18 Feb 1550.00 (SPX1816B1550-E),0.0,0.0,1177.10,1188.50,0,0,18 Feb 1550.00 (SPX1816N1550-E),0.05,0.0,0.0,0.10,0,8414,
18 Feb 1550.00 (SPXW1816B1550-E),0.0,0.0,1172.40,1184.50,0,0,18 Feb 1550.00 (SPXW1816N1550-E),0.05,0.0,0.0,0.05,0,680,
18 Feb 1575.00 (SPX1816B1575),0.0,0.0,1152.10,1163.50,0,0,18 Feb 1575.00 (SPX1816N1575),0.05,0.0,0.0,0.10,0,6520,
18 Feb 1575.00 (SPXW1816B1575),1005.00,0.0,1147.40,1159.50,0,1,18 Feb 1575.00 (SPXW1816N1575),0.05,0.0,0.0,0.05,0,857,
18 Feb 1575.00 (SPX1816B1575-E),0.0,0.0,1152.10,1163.50,0,0,18 Feb 1575.00 (SPX1816N1575-E),0.05,0.0,0.0,0.10,0,6520,
18 Feb 1575.00 (SPXW1816B1575-E),1005.00,0.0,1147.40,1159.50,0,1,18 Feb 1575.00 (SPXW1816N1575-E),0.05,0.0,0.0,0.05,0,857,
18 Feb 1600.00 (SPX1816B1600),0.0,0.0,1127.10,1138.50,0,0,18 Feb 1600.00 (SPX1816N1600),1.50,0.0,0.0,0.05,0,6006,
18 Feb 1600.00 (SPXW1816B1600),0.0,0.0,1122.40,1134.50,0,0,18 Feb 1600.00 (SPXW1816N1600),0.05,0.0,0.0,0.05,0,669,
18 Feb 1600.00 (SPX1816B1600-E),0.0,0.0,1127.10,1138.50,0,0,18 Feb 1600.00 (SPX1816N1600-E),1.50,0.0,0.0,0.05,0,6006,
18 Feb 1600.00 (SPXW1816B1600-E),0.0,0.0,1122.40,1134.50,0,0,18 Feb 1600.00 (SPXW1816N1600-E),0.05,0.0,0.0,0.05,0,669,
18 Feb 1625.00 (SPX1816B1625),0.0,0.0,1102.10,1113.50,0,0,18 Feb 1625.00 (SPX1816N1625),0.35,0.0,0.0,0.10,0,6774,
18 Feb 1625.00 (SPXW1816B1625),0.0,0.0,1097.50,1109.50,0,0,18 Feb 1625.00 (SPXW1816N1625),1.55,0.0,0.0,0.05,0,150,
18 Feb 1625.00 (SPX1816B1625-E),0.0,0.0,1102.10,1113.50,0,0,18 Feb 1625.00 (SPX1816N1625-E),0.35,0.0,0.0,0.10,0,6774,
18 Feb 1625.00 (SPXW1816B1625-E),0.0,0.0,1097.50,1109.50,0,0,18 Feb 1625.00 (SPXW1816N1625-E),1.55,0.0,0.0,0.05,0,150,
18 Feb 1650.00 (SPX1816B1650),0.0,0.0,1077.10,1088.50,0,0,18 Feb 1650.00 (SPX1816N1650),0.45,0.0,0.0,0.05,0,8760,
18 Feb 1650.00 (SPXW1816B1650),931.10,0.0,1072.40,1084.50,0,1,18 Feb 1650.00 (SPXW1816N1650),0.05,0.0,0.0,0.05,0,1201,
18 Feb 1650.00 (SPX1816B1650-E),0.0,0.0,1077.10,1088.50,0,0,18 Feb 1650.00 (SPX1816N1650-E),0.45,0.0,0.0,0.05,0,8760,
18 Feb 1650.00 (SPXW1816B1650-E),931.10,0.0,1072.40,1084.50,0,1,18 Feb 1650.00 (SPXW1816N1650-E),0.05,0.0,0.0,0.05,0,1201,
