,maturity,strike
1,0.008219178082191777,0.9026953159389722
2,0.008219178082191777,0.9047946073713884
3,0.008219178082191777,0.9173903559658857
4,0.008219178082191777,0.9236882302631344
5,0.008219178082191777,0.9257875216955506
6,0.008219178082191777,0.9278868131279667
7,0.008219178082191777,0.929986104560383
8,0.008219178082191777,0.9320853959927992
9,0.008219178082191777,0.9341846874252154
10,0.008219178082191777,0.9362839788576316
11,0.008219178082191777,0.9383832702900479
12,0.008219178082191777,0.940482561722464
13,0.008219178082191777,0.9425818531548803
14,0.008219178082191777,0.9446811445872965
15,0.008219178082191777,0.9467804360197127
16,0.008219178082191777,0.9488797274521289
17,0.008219178082191777,0.9509790188845452
18,0.008219178082191777,0.9530783103169613
19,0.008219178082191777,0.9551776017493776
20,0.008219178082191777,0.9572768931817938
21,0.008219178082191777,0.95937618461421
22,0.008219178082191777,0.9614754760466262
23,0.008219178082191777,0.9635747674790425
24,0.008219178082191777,0.9656740589114586
25,0.008219178082191777,0.9677733503438749
26,0.008219178082191777,0.9698726417762911
27,0.008219178082191777,0.9719719332087072
28,0.008219178082191777,0.9740712246411235
29,0.008219178082191777,0.9761705160735397
30,0.008219178082191777,0.9782698075059559
31,0.008219178082191777,0.9803690989383721
32,0.008219178082191777,0.9824683903707884
33,0.008219178082191777,0.9845676818032045
34,0.008219178082191777,0.9866669732356208
35,0.008219178082191777,0.988766264668037
36,0.008219178082191777,0.9908655561004532
37,0.008219178082191777,0.9929648475328694
38,0.008219178082191777,0.9950641389652857
39,0.008219178082191777,0.9971634303977018
40,0.008219178082191777,0.9992627218301181
41,0.008219178082191777,1.0013620132625343
42,0.008219178082191777,1.0034613046949505
43,0.008219178082191777,1.0055605961273668
44,0.008219178082191777,1.0076598875597829
45,0.008219178082191777,1.0097591789921991
46,0.008219178082191777,1.0118584704246154
47,0.008219178082191777,1.0139577618570317
48,0.008219178082191777,1.0160570532894477
49,0.013698630136986297,0.8396300604306409
50,0.013698630136986297,0.850125436186024
51,0.013698630136986297,0.8606208119414069
52,0.013698630136986297,0.87111618769679
53,0.013698630136986297,0.881611563452173
54,0.013698630136986297,0.8900078640564794
55,0.013698630136986297,0.892106939207556
56,0.013698630136986297,0.8942060143586326
57,0.013698630136986297,0.8963050895097092
58,0.013698630136986297,0.8984041646607858
59,0.013698630136986297,0.9005032398118624
60,0.013698630136986297,0.902602314962939
61,0.013698630136986297,0.9047013901140156
62,0.013698630136986297,0.9068004652650922
63,0.013698630136986297,0.9088995404161688
64,0.013698630136986297,0.9109986155672454
65,0.013698630136986297,0.913097690718322
66,0.013698630136986297,0.9151967658693986
67,0.013698630136986297,0.9172958410204752
68,0.013698630136986297,0.9193949161715518
69,0.013698630136986297,0.9214939913226284
70,0.013698630136986297,0.923593066473705
71,0.013698630136986297,0.9256921416247816
72,0.013698630136986297,0.9277912167758582
73,0.013698630136986297,0.9298902919269348
74,0.013698630136986297,0.9319893670780114
75,0.013698630136986297,0.934088442229088
76,0.013698630136986297,0.9361875173801646
77,0.013698630136986297,0.9382865925312412
78,0.013698630136986297,0.9403856676823178
79,0.013698630136986297,0.9424847428333945
80,0.013698630136986297,0.944583817984471
81,0.013698630136986297,0.9466828931355477
82,0.013698630136986297,0.9487819682866242
83,0.013698630136986297,0.9508810434377009
84,0.013698630136986297,0.9529801185887774
85,0.013698630136986297,0.9550791937398541
86,0.013698630136986297,0.9571782688909307
87,0.013698630136986297,0.9592773440420073
88,0.013698630136986297,0.9613764191930839
89,0.013698630136986297,0.9634754943441605
90,0.013698630136986297,0.9655745694952371
91,0.013698630136986297,0.9676736446463137
92,0.013698630136986297,0.9697727197973903
93,0.013698630136986297,0.9718717949484669
94,0.013698630136986297,0.9739708700995435
95,0.013698630136986297,0.9760699452506201
96,0.013698630136986297,0.9781690204016967
97,0.013698630136986297,0.9802680955527733
98,0.013698630136986297,0.9823671707038499
99,0.013698630136986297,0.9844662458549265
100,0.013698630136986297,0.9865653210060031
101,0.013698630136986297,0.9886643961570797
102,0.013698630136986297,0.9907634713081563
103,0.013698630136986297,0.9928625464592329
104,0.013698630136986297,0.9949616216103095
105,0.013698630136986297,0.9970606967613861
106,0.013698630136986297,0.9991597719124627
107,0.013698630136986297,1.0012588470635393
108,0.013698630136986297,1.0033579222146158
109,0.013698630136986297,1.0054569973656926
110,0.013698630136986297,1.0075560725167692
111,0.013698630136986297,1.0096551476678457
112,0.013698630136986297,1.0117542228189222
113,0.013698630136986297,1.013853297969999
114,0.013698630136986297,1.0159523731210756
115,0.013698630136986297,1.018051448272152
116,0.013698630136986297,1.0201505234232287
117,0.013698630136986297,1.0222495985743054
118,0.013698630136986297,1.024348673725382
119,0.013698630136986297,1.028546824027535
120,0.019178082191780813,0.7767924507670597
121,0.019178082191780813,0.7851902069915685
122,0.019178082191780813,0.7872896460476956
123,0.019178082191780813,0.7893890851038228
124,0.019178082191780813,0.7935879632160772
125,0.019178082191780813,0.7977868413283316
126,0.019178082191780813,0.8019857194405859
127,0.019178082191780813,0.8061845975528403
128,0.019178082191780813,0.8082840366089675
129,0.019178082191780813,0.8103834756650947
130,0.019178082191780813,0.8145823537773491
131,0.019178082191780813,0.8166817928334763
132,0.019178082191780813,0.8187812318896035
133,0.019178082191780813,0.8208806709457307
134,0.019178082191780813,0.8229801100018578
135,0.019178082191780813,0.825079549057985
136,0.019178082191780813,0.8271789881141122
137,0.019178082191780813,0.8292784271702394
138,0.019178082191780813,0.8313778662263666
139,0.019178082191780813,0.8334773052824938
140,0.019178082191780813,0.835576744338621
